bo_sach	lop	mon	ten_bai	tac_gia	rag_kind	rag_len	latency_s
Sách cũ	Lớp 10	Ngữ văn	Hứng trở về	Nguyễn Trung Ngạn	MISS	217	2.6
Sách cũ	Lớp 10	Ngữ văn	Tại lầu Hoàng Hạc tiễn Mạnh Hạo Nhiên đi Quảng Lăng	Lí Bạch	MISS	252	3.7
Sách cũ	Lớp 10	Ngữ văn	Nỗi oán của người phòng khuê	Vương Xương Linh	MISS	229	3.2
Sách cũ	Lớp 10	Ngữ văn	Khe chim kêu	Vương Duy	MISS	213	3.0
Sách cũ	Lớp 10	Ngữ văn	Phú sông Bạch Đằng	Trương Hán Siêu	MISS	219	3.4
Sách cũ	Lớp 10	Ngữ văn	Đại cáo bình Ngô	Nguyễn Trãi	MISS	217	3.8
Sách cũ	Lớp 10	Ngữ văn	"Tựa ""Trích diễm thi tập"""	Hoàng Đức Lương	MISS	219	4.0
Sách cũ	Lớp 10	Ngữ văn	Hưng Đạo Đại Vương Trần Quốc Tuấn	Ngô Sĩ Liên	MISS	234	6.2
Sách cũ	Lớp 10	Ngữ văn	Thái sư Trần Thủ Độ	Ngô Sĩ Liên	RECITE(json)	2341	8.4
Sách cũ	Lớp 10	Ngữ văn	Tào Tháo uống rượu luận anh hùng	La Quán Trung	MISS	233	7.3
Sách cũ	Lớp 10	Ngữ văn	Nỗi thương mình	Nguyễn Du	MISS	216	3.9
Sách cũ	Lớp 10	Ngữ văn	Thề nguyền	Nguyễn Du	MISS	211	2.4
Sách cũ	Lớp 11	Ngữ văn	Xin lập khoa luật	Nguyễn Trường Tộ	RECITE(json)	3175	5.8
Sách cũ	Lớp 11	Ngữ văn	Chữ người tử tù	Nguyễn Tuân	RECITE(json)	5476	2.8
Sách cũ	Lớp 11	Ngữ văn	Chí Phèo	Nam Cao	RECITE(json)	25717	2.9
Sách cũ	Lớp 11	Ngữ văn	Vi hành	Nguyễn Ái Quốc	RECITE(json)	6739	2.6
Sách cũ	Lớp 11	Ngữ văn	Tinh thần thể dục	Nguyễn Công Hoan	RECITE(json)	9487	5.3
Sách cũ	Lớp 11	Ngữ văn	Người trong bao	Sê-khốp	RECITE(json)	11998	2.7
Sách cũ	Lớp 11	Ngữ văn	Người cầm quyền khôi phục uy quyền	Huy-gô	MISS	252	3.1
Sách cũ	Lớp 11	Ngữ văn	Ba cống hiến vĩ đại của Các Mác	Ăng-ghen	RECITE(json)	3998	5.0
Sách cũ	Lớp 11	Ngữ văn	Một thời đại trong thi ca	Hoài Thanh	RECITE(json)	6192	3.7
Sách cũ	Lớp 12	Ngữ văn	Người lái đò Sông Đà	Nguyễn Tuân	RECITE(json)	14737	2.9
Sách cũ	Lớp 12	Ngữ văn	Ai đã đặt tên cho dòng sông ?	Hoàng Phủ Ngọc Tường	RECITE(json)	12564	3.4
Sách cũ	Lớp 12	Ngữ văn	Vợ chồng A Phủ	Tô Hoài	RECITE(json)	24509	3.7
Sách cũ	Lớp 12	Ngữ văn	Vợ nhặt	Kim Lân	RECITE(json)	19505	4.6
Sách cũ	Lớp 12	Ngữ văn	Rừng xà nu	Nguyễn Trung Thành	RECITE(json)	24187	4.7
Sách cũ	Lớp 12	Ngữ văn	Những đứa con trong gia đình	Nguyễn Thi	RECITE(json)	15260	5.2
Sách cũ	Lớp 12	Ngữ văn	Bắt sấu rừng U Minh Hạ	Sơn Nam	RECITE(json)	8635	5.0
Sách cũ	Lớp 12	Ngữ văn	Mùa lá rụng trong vườn	Ma Văn Kháng	RECITE(json)	12030	5.2
Sách cũ	Lớp 12	Ngữ văn	Một người Hà Nội	Nguyễn Khải	RECITE(json)	20285	6.5
Sách cũ	Lớp 12	Ngữ văn	Hồn Trương Ba, da hàng thịt	Lưu Quang Vũ	RECITE(json)	25126	5.8
Sách cũ	Lớp 12	Ngữ văn	Chiếc thuyền ngoài xa	Nguyễn Minh Châu	RECITE(json)	19302	9.0
Sách cũ	Lớp 12	Ngữ văn	Thuốc	Lỗ Tấn	RECITE(json)	18345	4.9
Sách cũ	Lớp 12	Ngữ văn	Số phận con người	Sô-lô-khốp	RECITE(json)	14090	4.9
Sách cũ	Lớp 12	Ngữ văn	Mấy ý nghĩ về thơ	Nguyễn Đình Thi	RECITE(json)	11431	6.4
Sách cũ	Lớp 12	Ngữ văn	Đô-xtôi-ép-xki	X. Xvai-gơ	MISS	211	5.6
Sách cũ	Lớp 12	Ngữ văn	Nhìn về vốn văn hoá dân tộc	Trần Đình Hượu	RECITE(json)	6169	3.6
Sách cũ	Lớp 2	Tiếng Việt	Có công mài sắt, có ngày nên kim	Truyện ngụ ngôn	MISS	233	5.7
Sách cũ	Lớp 2	Tiếng Việt	Phần thưởng	Phỏng theo Blai-tơn	MISS	212	5.8
Sách cũ	Lớp 2	Tiếng Việt	Mít làm thơ	Nô-xốp	MISS	212	5.8
Sách cũ	Lớp 2	Tiếng Việt	Bím tóc đuôi sam	Phỏng theo Ku-rô-y-a-na-gi	MISS	217	4.5
Sách cũ	Lớp 2	Tiếng Việt	Người mẹ hiền	Nguyễn Văn Thịnh	MISS	214	5.4
Sách cũ	Lớp 2	Tiếng Việt	Sáng kiến của bé Hà	Hồ Phương	MISS	220	5.0
Sách cũ	Lớp 2	Tiếng Việt	Bà cháu	Trần Hoài Dương	MISS	208	5.3
Sách cũ	Lớp 2	Tiếng Việt	Câu chuyện bó đũa	Ngụ ngôn Việt Nam	MISS	218	5.4
Sách cũ	Lớp 2	Tiếng Việt	Tìm ngọc	Nguyễn Đổng Chi	MISS	209	5.4
Sách cũ	Lớp 2	Tiếng Việt	Chuyện bốn mùa	Từ Nguyên Tĩnh	MISS	215	5.9
Sách cũ	Lớp 2	Tiếng Việt	Chim sơn ca và bông cúc trắng	An-đéc-xen	MISS	230	6.0
Sách cũ	Lớp 2	Tiếng Việt	Bác sĩ Sói	Phỏng theo La Phông-ten	MISS	211	5.8
Sách cũ	Lớp 2	Tiếng Việt	Sư Tử xuất quân	La Phông-ten · Nguyễn Khuyến dịch	MISS	216	5.4
Sách cũ	Lớp 2	Tiếng Việt	Bé nhìn biển	Trần Mạnh Hảo	MISS	213	6.5
Sách cũ	Lớp 2	Tiếng Việt	Những quả đào	Phỏng theo Lép Tôn-xtôi	MISS	214	6.3
Sách cũ	Lớp 2	Tiếng Việt	Cây đa quê hương	Nguyễn Khắc Viện	MISS	217	5.9
Sách cũ	Lớp 2	Tiếng Việt	Cháu nhớ Bác Hồ	Thanh Hải	MISS	216	6.0
Sách cũ	Lớp 2	Tiếng Việt	Chuyện quả bầu	Truyện cổ Khơ-mú	MISS	215	6.4
Sách cũ	Lớp 2	Tiếng Việt	Tiếng chổi tre	Tố Hữu	RECITE(json)	241	5.8
Sách cũ	Lớp 2	Tiếng Việt	Bóp nát quả cam	Nguyễn Huy Tưởng	MISS	216	5.4
Sách cũ	Lớp 2	Tiếng Việt	Đàn bê của anh Hồ Giáo	Phượng Vũ	MISS	207	6.2
Sách cũ	Lớp 3	Tiếng Việt	Ông ngoại	Nguyễn Việt Bắc	RECITE(json)	1294	4.9
Sách cũ	Lớp 3	Tiếng Việt	Bận	Trinh Đường	RECITE(json)	1064	4.4
Sách cũ	Lớp 3	Tiếng Việt	Các em nhỏ và cụ già	Xu-khôm-lin-xki	MISS	221	5.0
Sách cũ	Lớp 3	Tiếng Việt	Những chiếc chuông reo	Ngô Quân Miện	MISS	223	3.6
Sách cũ	Lớp 3	Tiếng Việt	Nắng phương Nam	Trần Hoài Dương	MISS	216	5.9
Sách cũ	Lớp 3	Tiếng Việt	Cửa Tùng	Thuỵ Chương	MISS	209	5.2
Sách cũ	Lớp 3	Tiếng Việt	Người liên lạc nhỏ	Tô Hoài	MISS	219	3.0
Sách cũ	Lớp 3	Tiếng Việt	Âm thanh thành phố	Tô Ngọc Hiến	MISS	219	4.3
Sách cũ	Lớp 3	Tiếng Việt	Ở lại với chiến khu	Phùng Quán	MISS	220	5.0
Sách cũ	Lớp 3	Tiếng Việt	Cái cầu	Phạm Tiến Duật	MISS	208	5.3
Sách cũ	Lớp 3	Tiếng Việt	Nhà ảo thuật	Blai-tơn	MISS	213	4.4
Sách cũ	Lớp 3	Tiếng Việt	Đối đáp với vua	Quốc Chấn	MISS	216	4.4
Sách cũ	Lớp 3	Tiếng Việt	Hội vật	Kim Lân	MISS	208	4.9
Sách cũ	Lớp 3	Tiếng Việt	Sự tích lễ hội Chử Đồng Tử	Hoàng Lê	MISS	227	5.8
Sách cũ	Lớp 3	Tiếng Việt	Buổi học thể dục	A-mi-xi	MISS	217	5.7
Sách cũ	Lớp 3	Tiếng Việt	Quà của đồng nội	Thạch Lam	RECITE(json)	1193	5.6
Sách cũ	Lớp 3	Tiếng Việt	Sự tích chú Cuội cung trăng	Truyện cổ Việt Nam	MISS	228	5.5
Sách cũ	Lớp 4	Tiếng Việt	Nỗi dằn vặt của An-đrây-ca	Xu-khôm-lin-xki	MISS	227	3.0
Sách cũ	Lớp 4	Tiếng Việt	Đôi giày ba ta màu xanh	Hàng Chức Nguyên	MISS	224	5.1
Sách cũ	Lớp 4	Tiếng Việt	Ông Trạng thả diều	Trinh Đường	MISS	219	4.6
Sách cũ	Lớp 4	Tiếng Việt	Vẽ trứng	Xuân Yến	RECITE(json)	6910	4.9
Sách cũ	Lớp 4	Tiếng Việt	Rất nhiều mặt trăng	Phơ-bơ	MISS	220	3.2
Sách cũ	Lớp 4	Tiếng Việt	Trống đồng Đông Sơn	Nguyễn Văn Huyên	RECITE(json)	1579	3.2
Sách cũ	Lớp 4	Tiếng Việt	Hoa học trò	Xuân Diệu	MISS	212	3.2
Sách cũ	Lớp 4	Tiếng Việt	Khuất phục tên cướp biển	Xti-ven-xơn	MISS	225	5.2
Sách cũ	Lớp 4	Tiếng Việt	Con sẻ	Tuốc-ghê-nhép	RECITE(json)	1990	4.3
Sách cũ	Lớp 4	Tiếng Việt	Con chuồn chuồn nước	Nguyễn Thế Hội	MISS	221	4.6
Sách cũ	Lớp 4	Tiếng Việt	Vương quốc vắng nụ cười	Trần Đức Tiến	MISS	224	5.7
Sách cũ	Lớp 4	Tiếng Việt	"Ăn ""mầm đá"""	Truyện dân gian Việt Nam	MISS	210	4.3
Sách cũ	Lớp 5	Tiếng Việt	Lòng dân	Nguyễn Văn Xe	MISS	209	6.0
Sách cũ	Lớp 5	Tiếng Việt	Một chuyên gia máy xúc	Hồng Thuỷ	RECITE(json)	834	6.6
Sách cũ	Lớp 5	Tiếng Việt	Những người bạn tốt	Lưu Anh	RECITE(json)	2014	3.6
Sách cũ	Lớp 5	Tiếng Việt	Kì diệu rừng xanh	Nguyễn Phan Hách	MISS	218	5.8
Sách cũ	Lớp 5	Tiếng Việt	Cái gì quý nhất ?	Trịnh Mạnh	MISS	216	4.6
Sách cũ	Lớp 5	Tiếng Việt	Chuyện một khu vườn nhỏ	Vân Long	RECITE(json)	1662	6.6
Sách cũ	Lớp 5	Tiếng Việt	Mùa thảo quả	Ma Văn Kháng	RECITE(json)	1543	6.0
Sách cũ	Lớp 5	Tiếng Việt	Người gác rừng tí hon	Nguyễn Thị Cẩm Châu	RECITE(json)	1599	6.6
Sách cũ	Lớp 5	Tiếng Việt	Buôn Chư Lênh đón cô giáo	Hà Đình Cẩn	MISS	212	4.7
Sách cũ	Lớp 5	Tiếng Việt	Thầy thuốc như mẹ hiền	Trần Phương Hạnh	RECITE(json)	2248	5.7
Sách cũ	Lớp 5	Tiếng Việt	Ngu Công xã Trịnh Tường	Trường Giang, Ngọc Minh	MISS	218	5.1
Sách cũ	Lớp 5	Tiếng Việt	Người công dân số Một	Hà Văn Cầu, Vũ Đình Phòng	MISS	218	5.4
Sách cũ	Lớp 5	Tiếng Việt	Nhà tài trợ đặc biệt của Cách mạng	Phạm Khải	MISS	235	4.7
Sách cũ	Lớp 5	Tiếng Việt	Một vụ đắm tàu	A-mi-xi	MISS	215	2.7
Sách cũ	Lớp 5	Tiếng Việt	Tà áo dài Việt Nam	Trần Ngọc Thêm	RECITE(json)	1467	5.1
Sách cũ	Lớp 5	Tiếng Việt	Lớp học trên đường	Héc-to Ma-lô	MISS	219	3.4
Sách cũ	Lớp 6	Ngữ văn	Con Rồng cháu Tiên	Truyền thuyết	MISS	219	4.4
Sách cũ	Lớp 6	Ngữ văn	Em bé thông minh	Cổ tích	RECITE(json)	281	2.1
Sách cũ	Lớp 6	Ngữ văn	Cây bút thần	Cổ tích Trung Quốc	MISS	213	3.9
Sách cũ	Lớp 6	Ngữ văn	Thầy bói xem voi	Ngụ ngôn	MISS	217	2.8
Sách cũ	Lớp 6	Ngữ văn	Đeo nhạc cho mèo	Ngụ ngôn	MISS	217	2.6
Sách cũ	Lớp 6	Ngữ văn	Lợn cưới, áo mới	Truyện cười	MISS	217	3.4
Sách cũ	Lớp 6	Ngữ văn	Treo biển	Truyện cười	RECITE(json)	1491	6.3
Sách cũ	Lớp 6	Ngữ văn	Sọ Dừa	Cổ tích	RECITE(json)	5737	23.4
Sách cũ	Lớp 6	Ngữ văn	Mẹ hiền dạy con	Ôn Như Nguyễn Văn Ngọc, Tử An Trần Lê Nhân dịch	MISS	216	2.4
Sách cũ	Lớp 6	Ngữ văn	Thầy thuốc giỏi cốt nhất ở tấm lòng	Hồ Nguyên Trừng	MISS	231	6.0
Sách cũ	Lớp 6	Ngữ văn	Sông nước Cà Mau	Đoàn Giỏi	MISS	217	2.8
Sách cũ	Lớp 6	Ngữ văn	Vượt thác	Võ Quảng	MISS	210	3.2
Sách cũ	Lớp 6	Ngữ văn	Mưa	Trần Đăng Khoa	RECITE(json)	8512	2.8
Sách cũ	Lớp 6	Ngữ văn	Lòng yêu nước	I. Ê-ren-bua	RECITE(json)	4489	2.9
Sách cũ	Lớp 6	Ngữ văn	Cầu Long Biên – chứng nhân lịch sử	Thuý Lan	MISS	235	4.1
Sách cũ	Lớp 6	Ngữ văn	Động Phong Nha	Trần Hoàng	MISS	215	2.3
Sách cũ	Lớp 7	Ngữ văn	Những câu hát về tình cảm gia đình	Ca dao, dân ca	MISS	235	2.7
Sách cũ	Lớp 7	Ngữ văn	Những câu hát về tình yêu quê hương, đất nước, con người	Ca dao, dân ca	MISS	257	4.2
Sách cũ	Lớp 7	Ngữ văn	Những câu hát than thân	Ca dao, dân ca	MISS	224	2.6
Sách cũ	Lớp 7	Ngữ văn	Những câu hát châm biếm	Ca dao, dân ca	MISS	224	3.6
Sách cũ	Lớp 7	Ngữ văn	Tục ngữ về thiên nhiên và lao động sản xuất	Tục ngữ	MISS	244	7.0
Sách cũ	Lớp 7	Ngữ văn	Tục ngữ về con người và xã hội	Tục ngữ	MISS	231	5.7
Sách cũ	Lớp 7	Ngữ văn	Buổi chiều đứng ở phủ Thiên Trường trông ra	Trần Nhân Tông	MISS	217	3.1
Sách cũ	Lớp 7	Ngữ văn	Sau phút chia li	Đặng Trần Côn · bản dịch Đoàn Thị Điểm	MISS	217	4.4
Sách cũ	Lớp 7	Ngữ văn	Cảm nghĩ trong đêm thanh tĩnh	Lí Bạch	MISS	230	5.4
Sách cũ	Lớp 7	Ngữ văn	Ngẫu nhiên viết nhân buổi mới về quê	Hạ Tri Chương	MISS	237	5.9
Sách cũ	Lớp 7	Ngữ văn	Bài ca nhà tranh bị gió thu phá	Đỗ Phủ	MISS	232	6.2
Sách cũ	Lớp 7	Ngữ văn	Cổng trường mở ra	Lý Lan	MISS	218	6.2
Sách cũ	Lớp 7	Ngữ văn	Mẹ tôi	Ét-môn-đô đơ A-mi-xi	RECITE(json)	6050	6.4
Sách cũ	Lớp 7	Ngữ văn	Cuộc chia tay của những con búp bê	Khánh Hoài	MISS	235	7.5
Sách cũ	Lớp 7	Ngữ văn	Một thứ quà của lúa non : Cốm	Thạch Lam	MISS	229	6.2
Sách cũ	Lớp 7	Ngữ văn	Sài Gòn tôi yêu	Minh Hương	MISS	216	6.5
Sách cũ	Lớp 7	Ngữ văn	Sống chết mặc bay	Phạm Duy Tốn	MISS	218	7.3
Sách cũ	Lớp 7	Ngữ văn	Quan Âm Thị Kính	Dân gian	MISS	217	6.0
Sách cũ	Lớp 7	Ngữ văn	Sự giàu đẹp của tiếng Việt	Đặng Thai Mai	MISS	227	4.8
Sách cũ	Lớp 7	Ngữ văn	Ý nghĩa văn chương	Hoài Thanh	RECITE(json)	3160	4.2
Sách cũ	Lớp 8	Ngữ văn	Lão Hạc	Nam Cao	RECITE(json)	18804	2.6
Sách cũ	Lớp 8	Ngữ văn	Chiếc lá cuối cùng	O Hen-ri	RECITE(json)	5601	7.4
Sách cũ	Lớp 8	Ngữ văn	Ông Giuốc-đanh mặc lễ phục	Mô-li-e	RECITE(json)	5722	3.0
Sách cũ	Lớp 8	Ngữ văn	Hịch tướng sĩ	Trần Quốc Tuấn	RECITE(json)	5606	3.6
Sách cũ	Lớp 9	Ngữ văn	Chuyện người con gái Nam Xương	Nguyễn Dữ	RECITE(json)	10752	4.6
Sách cũ	Lớp 9	Ngữ văn	Chuyện cũ trong phủ chúa Trịnh	Phạm Đình Hổ	RECITE(json)	2311	4.5
Sách cũ	Lớp 9	Ngữ văn	Hoàng Lê nhất thống chí – Hồi thứ mười bốn	Ngô gia văn phái	MISS	243	4.6
Sách cũ	Lớp 9	Ngữ văn	Lặng lẽ Sa Pa	Nguyễn Thành Long	RECITE(json)	19363	4.2
Sách cũ	Lớp 9	Ngữ văn	Chiếc lược ngà	Nguyễn Quang Sáng	RECITE(json)	2589	4.7
Sách cũ	Lớp 9	Ngữ văn	Bến quê	Nguyễn Minh Châu	RECITE(json)	12123	4.6
Sách cũ	Lớp 9	Ngữ văn	Rô-bin-xơn ngoài đảo hoang	Đ. Đi-phô	RECITE(json)	2694	5.3
Sách cũ	Lớp 9	Ngữ văn	Chó sói và cừu trong thơ ngụ ngôn của La Phông-ten	H. Ten	MISS	234	3.7
Sách cũ	Lớp 9	Ngữ văn	Bắc Sơn	Nguyễn Huy Tưởng	RECITE(json)	10862	4.2
Sách cũ	Lớp 9	Ngữ văn	Đấu tranh cho một thế giới hoà bình	G. Mác-két	RECITE(json)	1700	3.4
Sách cũ	Lớp 9	Ngữ văn	Phong cách Hồ Chí Minh	Lê Anh Trà	RECITE(json)	2870	6.7
Sách cũ	Lớp 9	Ngữ văn	Tiếng nói của văn nghệ	Nguyễn Đình Thi	RECITE(json)	7475	4.2
Sách cũ	Lớp 9	Ngữ văn	Bàn về đọc sách	Chu Quang Tiềm	RECITE(json)	6665	7.6
Sách cũ	Lớp 9	Ngữ văn	Chuẩn bị hành trang vào thế kỉ mới	Vũ Khoan	RECITE(json)	5614	4.7
